업소명,소재지,위도,경도
모락로제떡볶이&깻잎두마리치킨,"부산광역시 금정구 기찰로 10(102호 부곡동, 샘빌라트)",35.2316532,129.0928682
멕시카나치킨,부산광역시 금정구 부산대학로38번길 35(장전동),35.23283814,129.0874131
맛있는치킨,부산광역시 금정구 금사로 41(서동),35.21725814,129.1087113
람스치킨,부산광역시 금정구 서부곡로 10(부곡동),35.22617312,129.0908393
땅땅치킨 구서점,"부산광역시 금정구 금샘로246번길 18(117동 1층 111호 구서동, 구서에스케이뷰1단지)",35.2438425,129.0855715
디디씨(DDC)치킨 (구서점),부산광역시 금정구 금강로565번길 8(구서동),35.25810536,129.0872345
두실더조은치킨 2호점,부산광역시 금정구 동부곡로12번길 8(1층 부곡동),35.22526904,129.093134
동키치킨,부산광역시 금정구 팔송로 20(남산동),35.27221938,129.0904019
동키치킨,부산광역시 금정구 중앙대로1945번길 10(구서동),35.25806436,129.0907835
오후엔치킨,부산광역시 사하구 다대낙조2길 85(111호 다대동),35.05295716,128.9615351
핫썬 치킨 재송1호점,부산광역시 해운대구 해운대로76번길 83(재송동),35.1908576,129.1193762
랑이네 치킨,"부산광역시 해운대구 해운대해변로 257(305호 우동, 하버타운)",35.1596883,129.1595157
림스치킨,"부산광역시 해운대구 해운대로 620(우동, 라뮤에뜨 상가107호)",35.16296148,129.1584536
마당통치킨,"부산광역시 해운대구 윗반송로51번길 84-33(반송동, 1층)",35.23080485,129.1569137
맥시칸 치킨,부산광역시 해운대구 선수촌로165번길 15(1층 A-1호 반여동),35.20791216,129.1222463
가홍치킨(광복점),부산광역시 중구 중앙대로 2(롯데백화점광복점 지하 1층 중앙동7가),35.09830894,129.0367048
맥시칸 치킨 우동점,부산광역시 해운대구 해운대로 427(1층 일부호 우동),35.16594122,129.1417892
맥시칸치킨,"부산광역시 해운대구 재송1로60번길 16(1층 1018호,1019호 재송동)",35.18658123,129.1236764
맥시칸치킨,"부산광역시 해운대구 달맞이길65번길 6(중동, 지상1층)",35.16087871,129.1725503
맥시칸치킨 재송A점,"부산광역시 해운대구 재반로 146-7(재송동,  1층일부)",35.1908398,129.1280832
멕시카나치킨 해운대신도시점,"부산광역시 해운대구 대천로67번길 18(좌동, 해운대주공아파트상가 101호)",35.1738281,129.1682465
몽이두마리치킨,부산광역시 해운대구 아랫반송로 11(1층 일부호 반송동),35.22560505,129.1473379
몽이두마리치킨,부산광역시 해운대구 좌동순환로468번가길 6(1층 일부호 중동),35.16285043,129.1727872
바른치킨 부산반여점,부산광역시 해운대구 반여로155번길 50(반여동),35.20647573,129.1235663
방장치킨,부산광역시 해운대구 우동1로38번길 31(1층 우동),35.16645423,129.1598753
본스치킨반여점,"부산광역시 해운대구 삼어로 131(반여동, 현대아파트 상가동 104호)",35.20789306,129.1194455
봉다리 숯불 두마리 치킨,부산광역시 해운대구 좌동로 115(좌동),35.17370576,129.1771477
부산우동점 굽네치킨,"부산광역시 해운대구 해운대로 663(에이동 106호 우동, 해운대비스타동원)",35.1659184,129.1621728
"부산좌1,3동점 굽네치킨","부산광역시 해운대구 대천로67번길 15(좌동, 신성@상가 112호일부)",35.17274055,129.1679235
부산좌동점 굽네치킨,"부산광역시 해운대구 좌동순환로 275(좌동,  대우2차상가 114호)",35.17245658,129.1832333
불로만치킨,부산광역시 해운대구 재반로 222-1(반여동),35.1970846,129.1311675
브라보치킨피자,"부산광역시 해운대구 좌동순환로 275(좌동, 대우2차 아파트 상가동 116호)",35.17245658,129.1832333
비비큐 치킨,"부산광역시 해운대구 세실로 30(좌동, 경동지플러스상가 206호)",35.16844683,129.179399
비비큐치킨점,부산광역시 해운대구 해운대로61번길 109(반여동),35.1948756,129.1302694
빌리지치킨하우스,"부산광역시 해운대구 삼어로 95(반여동,  송보자유아파트 상가동 102호)",35.20566554,129.1185912
빨간병아리&울통치킨,부산광역시 해운대구 송정구덕포길 37(송정해양레포츠시설 1층 일부호 송정동),35.17404451,129.1977361
세븐치킨,"부산광역시 해운대구 반여로 114(반여동, 산봉빌딩103호)",35.20164158,129.1238621
"숯불치킨, 꽃자네 닭도리탕 반여1동점",부산광역시 해운대구 선수촌로 78(1층 일부호 반여동),35.20063777,129.1193568
숯불치킨이닭,"부산광역시 해운대구 재반로211번길 22-9(101호 반여동, 동성빌라)",35.19636997,129.1295104
숯양두마리치킨,"부산광역시 해운대구 대천로 35(상가동 지하층 2호 좌동, 효성코오롱아파트)",35.17000731,129.1681369
숯양두마리치킨,부산광역시 해운대구 재송1로 64(1층 일부호 재송동),35.18742322,129.1242479
쌍둥이숯불두마리치킨,부산광역시 해운대구 반여로167번길 40-2(1층 일부호 반여동),35.20704797,129.1250349
썬더치킨 반송1호점,부산광역시 해운대구 반송로924번길 24(반송동),35.23158308,129.1565952
썬더치킨(해운대4호점),부산광역시 해운대구 대천로 92-6(1층 좌동),35.1739646,129.1727713
아라치치킨(센텀스타점),"부산광역시 해운대구 센텀동로 123(상가동 1층 2호 재송동, 더샵센텀스타아파트)",35.17739286,129.1249989
아몬드치킨,부산광역시 해운대구 송정중앙로9번길 164(1층 일부호 송정동),35.1900012,129.2065679
얼큰이치킨,부산광역시 해운대구 선수촌로 156(반여동),35.20686486,129.1224296
왔따치킨,"부산광역시 해운대구 대천로 205(상가동 지하1층 2,3호 좌동, 벽산1차아파트)",35.170537,129.1804282
우2동 굽네치킨,"부산광역시 해운대구 해운대로 361(우동, 삼환맨션상가103호)",35.17238894,129.1386191
자담치킨 중동점,부산광역시 해운대구 좌동순환로 463(빌레오션오피스텔 1층 106호 중동),35.16239466,129.1705195
자담치킨(재송2호점),부산광역시 해운대구 재송2로 10(삼거리 부동산 1층 일부호 재송동),35.19272825,129.1295258
정월당치킨 센텀월드마크점,"부산광역시 해운대구 센텀동로 25(123호 우동, 대우월드마크센텀아파트)",35.17190652,129.131433
정월당치킨 재송점,부산광역시 해운대구 해운대로38번길 70(107호 재송동),35.19102747,129.1175777
정월당치킨 중동역점,부산광역시 해운대구 해운대로 723(하모니타워마브러스 103동 1층 112호 중동),35.16699574,129.1691695
지코바 숯불양념 치킨,"부산광역시 해운대구 선수촌로 62(반여동, 지상1층)",35.19918158,129.1189195
